cases,companies,revenue_rows,profit_rows,revenue_mean,revenue_median,revenue_trim10,revenue_p90,revenue_max,profit_mean_pp,profit_median_pp,profit_trim10_pp,profit_p90_pp,profit_max_pp,revenue_coverage,profit_coverage,revenue_interval_score,profit_interval_score,panel,key
3,1,9,9,0.02807733775379611,0.020204067842421812,0.02807733775379611,0.06690194824001641,0.08476313669977784,2.0862294797043224,1.4343350319569588,2.0862294797043224,4.040554396890009,4.143557952798184,1.0,1.0,0.3247473625687572,0.1990581568281317,company,Marvell Technology
2,1,6,6,0.09371946666064594,0.05561316625766646,0.09371946666064594,0.19363925759721715,0.3191763191763192,6.61151343518441,1.948422709143377,6.61151343518441,16.619151129340757,30.21831936466083,1.0,1.0,0.44604986773778627,0.3015289700488882,company,Micron
3,1,8,8,0.036650728809574463,0.036122710531736074,0.036650728809574463,0.0706599587179733,0.0711154046221298,1.3118518639367565,0.6384901195260112,1.3118518639367565,3.1788598523231855,4.710846384309717,1.0,1.0,0.26180377992371123,0.11047869158834471,company,NVIDIA
3,1,7,7,0.027995694622535604,0.026121350488847523,0.027995694622535604,0.048587806170432506,0.05029275991951797,0.456624309600355,0.49663169443621286,0.456624309600355,0.6219763065309105,0.6806203116840631,1.0,1.0,0.23233203325159138,0.05262412435918638,company,Netflix
1,1,3,3,0.03309157878028019,0.03773965815508908,0.03309157878028019,0.055106920339068166,0.059448735885062935,0.5193712786844912,0.2880209172304061,0.5193712786844912,1.0361227259061585,1.2231481780750966,1.0,1.0,0.45967177788358216,0.1531756835662385,company,Super Micro Computer
1,1,3,3,0.013407685862032899,0.0014934551524203846,0.013407685862032899,0.030978257413512438,0.03834945797878545,0.7536776315390589,0.552393458389,0.7536776315390589,1.4249287052768977,1.6430625169988722,1.0,1.0,0.39255457872155847,0.19627728936077923,company,Vertiv
1,1,3,3,0.02728535031570316,0.026408664962881894,0.02728535031570316,0.02926762364513369,0.029982363315696637,0.879442939907077,0.9478824388462953,0.879442939907077,0.9569325884586929,0.9591951258617923,1.0,1.0,0.46664725158455184,0.23330856799011865,mechanism,compute-platform-segments-ma
6,2,16,16,0.048733085800275626,0.03220203871454105,0.04565405391601387,0.11216632535997884,0.13960872682577072,1.3367448115162335,0.9639101477670409,1.185388142778265,2.4963379427766412,4.710846384309717,1.0,1.0,0.2605458148535835,0.11263517221917982,mechanism,compute-platforms
1,1,3,3,0.043116294842634816,0.04983517548962576,0.043116294842634816,0.06418374584674358,0.06777088843602302,0.8773723745733042,1.0331458119266834,0.8773723745733042,1.185841091485078,1.2240149113746768,1.0,1.0,0.3361121094325892,0.13320187162428374,mechanism,diversified-wafer-fab-equipment
1,1,3,3,0.02914380514339456,0.016393442622950793,0.02914380514339456,0.056358229529921075,0.06634942625666364,1.8810795671001506,1.9684274438372813,1.8810795671001506,2.918486492951879,3.156001255230528,1.0,1.0,0.46216131049366554,0.23091413530138705,mechanism,hybrid-semiconductor-software-ma
