company,case_id,horizon,original_revenue_error,overlay_revenue_error,original_margin_error_pp,overlay_margin_error_pp
NVIDIA,NVDA@FY2020,3,0.01950025950915696,0.05396943539545789,2.5222941957575316,3.182229267892712
Netflix,NFLX@FY2014,1,0.004352968820317614,0.014292254145581955,0.229707422850999,0.552863200896252
Netflix,NFLX@FY2016,1,0.016481461573545804,0.0019366342634191012,0.39005516773008697,0.066899389684834
Netflix,NFLX@FY2018,1,0.01768401941076219,0.000711556438393633,0.546466271280023,0.22331049323477004
Netflix,NFLX@FY2014,2,0.026121350488847523,0.0016480320375155235,0.5828803030954752,0.8648595120949558
Netflix,NFLX@FY2016,2,0.05029275991951797,0.023212606092252723,0.49663169443621236,0.21465248543673177
Netflix,NFLX@FY2014,3,0.033586131807049294,0.002531842226203668,0.27000899612562446,0.25374603947351915
Netflix,NFLX@FY2016,3,0.04745117033770886,0.016842413396399712,0.6806203116840628,0.1568652760849183
Super Micro Computer,SMCI@FY2020,1,0.0020863423006885437,0.016211917203566087,0.04694474074797084,0.3119838402052091
Super Micro Computer,SMCI@FY2020,2,0.03773965815508908,0.01192993364427228,0.2880209172304067,0.012083416461851293
Super Micro Computer,SMCI@FY2020,3,0.059448735885062935,0.02853459793073713,1.2231481780750961,0.8148879394631052
Vertiv,VRT@FY2020,1,0.00038014445489286183,0.018723630732395156,0.06557691922930431,0.29335166172387517
Vertiv,VRT@FY2020,2,0.0014934551524203846,0.03244870740258607,0.5523934583889982,0.8404143756194031
Vertiv,VRT@FY2020,3,0.03834945797878545,0.0067418267372594595,1.6430625169988744,1.234802278386887
